話者,,会話文,キャラ配置,キャラモーション,背景,BGM,その他,0
,,,,,Forest,Bgm_forest,,0
　　,,数日後、村の人々に見送られ、僕はウルラと共に魔王から調和の指揮棒を取り返す旅に出た,,,,,,0
,,,Hero_stick Urura,,,,,0
ウルラ,Urura,さて、改めて君にはちゃんと説明しなくてはいけないね。魔王のことや調和の指揮棒のことも,,,,,,0
${name},Hero_stick,あぁ、頼む,,,,,,0
ウルラ,Urura,まずは調和の指揮棒に関してだが,,,,,,0
${name},Hero_stick,三本存在すると言っていたな,,,,,,0
ウルラ,Urura,そうだ、一本ずつに役割があり、三本を揃え『開演（コンサート）』という儀式を行うことにより魔物を無力化できるのだ,,,,,,0
${name},Hero_stick,役割？,Hero_stick.sad Urura,Cut,,,,0
ウルラ,Urura,君の持つ杖にはト音記号があるだろう？　この杖は『主旋の杖（メロディワンド）』と呼び、ムジカトール自身の力が魔物に直接、攻撃として届く仕組みになっている,,,,,,0
ウルラ,Urura,君のように真っ直ぐな意思を持つものは、この杖を使うと非常に高い力が生まれる,,,,,,0
${name},Hero_stick,なるほど,,,,,,0
ウルラ,Urura,魔王が盗んだ調和の指揮棒は『伴奏の杖（ベースワンド）』。これにはヘ音記号がついている,,,,,,0
ウルラ,Urura,ムジカトールが正しく使えば、音楽の力全てが底上げできるものだ,,,,,,0
ウルラ,Urura,……しかし、その影響で盗まれてから魔物が以前より凶暴化しているという事実もあるが,,,,,,0
${name},Hero_stick,そういうことだったのか,,,,,,0
ウルラ,Urura,最後はハ音記号という、少し珍しい記号がついている『和音の杖（ハルモワンド）』というものがある,,,,,,0
ウルラ,Urura,この杖を使うと、主旋の杖の力の幅を広げることができる。防御やサポートの役割を担う杖なのだ,,,,,,0
${name},Hero_stick,それは今誰が持っているんだ？,Hero_stick Urura,Cut,,,,0
ウルラ,Urura,私の弟子が持っているはずだが……奴がもし適性のある人間を見つけていたら、その者がムジカトールになっているかもしれないな,,,,,,0
,,,Clear,,,Se_footstep,,0
,,,,,Forest,,,0
,,,Hero_stick Urura,,,Se_footstep,,0
ウルラ,Urura,次は魔王の話をしよう,,,,,,0
${name},Hero_stick,詳しく教えてくれ,Hero_stick.sad Urura,Cut,,,,0
ウルラ,Urura,ああ……彼の名はディアデウス・サタン。はるか昔からこの世界を我が物にしようと魔物を作り、人々を襲わせている張本人だ,,,,,,0
ウルラ,Urura,彼は街の人たちも言っていたように、アンテルース城という場所に構えている,,,,,,0
ウルラ,Urura,おそらく、『伴奏の杖（ベースワンド）』を盗んだ今もそこにいるだろう,,,,,,0
${name},Hero_stick,じゃあ僕たちはアンテルース城を目指すのか？,Hero_stick Urura,Cut,,,,0
ウルラ,Urura,そういうことだ,,,,,,0
ウルラ,Urura,だが、その前に彼と渡り合うほどの力を身につけなくてはな,,,,,,0
${name},Hero_stick,……どうしたらもっと強くなれるかな,Hero_stick.sad Urura,Cut,,,,0
ウルラ,Urura,そうだな、まずは君の力……音楽の力の扱いに慣れなくてはいけない,,,,,,0
魔物の群れ,Monster_pack,――――！,Monster_pack,Enter(left),,,BGMを緊迫へ切り替える,0
ウルラ,Urura,おっと、ちょうどいいタイミングでおでましだな。${name}、まずはその力を制御することを意識しながら戦うぞ！,Hero_stick.sad Urura,Cut,,,,0
${name},Hero_stick,わかった！,Hero_stick.angry Urura,Cut,,,,0
,,,Clear,,Blackout,,,0
