話者,会話文,キャラ配置,キャラモーション,背景,BGM,その他,0
,,,,forest cut,Se_magic,,0
,,Hero_stick Urura,,,Bgm_forest,,0
${name},「ハァ……ハァ……――！」,,,,,,0
ウルラ,「なんとか倒したようだな」,,,,,,0
,,Clear,Cut,,,,0
親分,「…………」,,,,,,0
ウルラ,「先ほどの魔物……もしかして魔王が直接仕向けたものだったのか……？」,Hero_stick Urura,Cut,,,,0
${name},「そうなのか？」,,,,,,0
ウルラ,「いや、まだ分からないことが多く、断定はできないが……っ！　おい、${name}！　後ろに魔物が！」,,,,,,0
,,Monster,Cut,,Se_magic,,0
,,Hero_stick Urura,,,,,0
${name},「――ッ！」,,,,,,0
ウルラ,「無事か！？」,,,,,,0
${name},「ああ……なんとかな。ギリギリでこちらの攻撃が間に合ったみたいだ」,,,,,,0
ウルラ,「……そうか、流石に連戦で疲れただろう。この道を進むともう少しで街がある。今日はそこで休もう」,,,,,,0
${name},「そうだな……」,,,,Se_footstep,,0
,……,Clear,,,,,0
,…………,,,,,,0
,………………,,,,,,0
,,,,Blackout,,,0
,,Liberta,,forest,,,0
？？？,「……」,,,,Se_footstep,,0
？？？,「なるほど……あの子が……」,,,,,,0
,,Clear,,Blackout,,,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
