\ Note Generated At 2024/10/12 01:19:56
(120) {4/4} <1> (120) {4/4} <0.8> 0 0 0 ,
0, 
0 0 2a 2a ,
2a 0 0 0 ,
2a 0 2a 0 ,
2a 0 2a 0 ,
2b 0 2b 0 ,
2b 0 2b 0 ,
2a[120#2:1] 0 0 0 ,
2a[120#2:1] 0 0 0 ,
2b[120#2:1] 0 0 0 ,
2b[120#2:1] 0 0 0 ,
2a 2a 2a 0 ,
2b 2b 2b 0 ,
1a[120#2:1] 0 0 0 ,
2b[120#2:1] 0 0 0 ,
2a 2a 2a 0 ,
2b 2b 2b 0 ,
2a[120#4:1] 0 2a 0 ,
2b[120#4:1] 0 2b 0 ,
2b[120#4:1] 0 2b[120#4:1] 0 ,
2B[120#2:1] 0 0 0 ,
2a[120#4:1] 0 2a[120#4:1] 0 ,
2A[120#2:1] 0 0 0 ,
1a[120#4:1] 0 1A 0 ,
2a[120#4:1] 0 2A 0 ,
3b[120#2:1] 0 0 0 ,
2B[120#2:1] 0 0 0 ,
2b 2b 2b 2b ,
2b[120#2:1] 0 0 0 ,
1A 0 2A 0 ,
3B 0 2B 0 ,
2a 2a 2a 2a ,
2a[120#2:1] 0 0 0 ,
2B[120#4:3] 0 0 0 ,
2A[120#4:4] 0 0 0 ,
(60) {6/4} 0, E, 
